EmployeeID,Name,DepartmentID,Salary,HireDate
101,Alice Smith,1.0,70000,2018-03-15
102,Bob Johnson,1.0,65000,2019-07-22
103,Charlie Lee,2.0,72000,2020-01-10
104,David Brown,3.0,80000,2017-10-30
105,Eve Davis,2.0,60000,2021-04-18
106,Frank Wilson,4.0,95000,2016-12-05
107,Grace Hall,,50000,2022-08-09
108,Alice Smith,1.0,70000,2018-03-15
109,Bob Johnson,1.0,65000,2019-07-22
110,Charlie Lee,2.0,72000,2020-01-10
112,Alice Smith,1.0,70000,2018-03-15
113,Bob Johnson,1.0,65000,2019-07-22
114,Charlie Lee,2.0,72000,2020-01-10
115,David Brown,3.0,80000,2017-10-30
101,Alice Smith,1.0,70000,2018-03-15
102,           ,1.0,$65000,2019-07-22
103,Charlie Lee,2.0,72000,2020-01-10
104,David Brown,   ,$80,000,2017-10-30
105,Eve Davis@@,   ,60000,2021-04-18
106,Frank Wilson,4.0,95000,2016/12/05
107,Grace Hall,   ,50000,2022-08-09
